year,real,pred
1790,323.45,0.0
1800,341.6,326.13676115514716
1810,360.75,358.9019776017243
1820,381.0,379.0052546045738
1830,409.0,400.3038593077094
1840,412.0,435.6917560797942
1850,412.0,414.8598310085494
1860,377.0,412.0
1870,358.0,343.6353049002568
1880,368.0,339.88773694585365
1890,380.0,377.5327700284981
1900,400.0,391.4393240341977
1910,423.0,419.0655400569961
1920,472.0,444.92537106554556
1930,489.0,518.7105731396405
1940,518.77,505.20570904844675
1950,546.815,547.1490563748387
1960,667.07,573.549653544923
1970,818.315,781.7063259777035
1980,981.235,962.4933802960189
1990,1135.185,1136.5428893042904
2000,1264.093,1284.5943285392138
2010,1341.0,1425.728360800682
2020,1410.0,1560.268188075002
2030,1500.0,1688.5219113829964
