year,real,pred
1790,323.45,323.45
1800,341.6,337.09563043084944
1810,360.75,351.31693942053437
1820,381.0,366.1382135569688
1830,409.0,381.58476402476856
1840,412.0,397.68296983068876
1850,412.0,414.46032285264647
1860,377.0,431.94547478926035
1870,358.0,450.168286090086
1880,368.0,469.15987695010824
1890,380.0,488.95268045557737
1900,400.0,509.5804979719478
1910,423.0,531.0785568685112
1920,472.0,553.4835706783012
1930,489.0,576.8338017960103
1940,518.77,601.1691268209918
1950,546.815,626.5311046569345
1960,667.07,652.9630474845134
1970,818.315,680.5100947282137
1980,981.235,709.2192901436521
1990,1135.185,739.139662157038
2000,1264.093,770.3223075939768
2010,1341.0,802.8204789406038
2020,1410.0,836.68967528607
2030,1500.0,871.9877371016864
