year,real,pred
1790,3.9,3.9
1800,5.3,4.8702809373822795
1810,7.2,6.081958053597234
1820,9.6,7.595088300100832
1830,12.9,9.484670196337502
1840,17.1,11.844361142200098
1850,23.2,14.791119560597064
1860,31.4,18.471001958594368
1870,38.6,23.06640223930587
1880,50.2,28.805092082072644
1890,62.9,35.97151047868196
1900,76.0,44.92086199312095
1910,92.0,56.09672252714796
1920,106.5,70.05302522399789
1930,123.2,87.48151624471717
1940,131.7,109.2460412666524
1950,150.7,136.42536211934743
1960,179.3,170.36662577059798
1970,204.0,212.75213586068824
1980,226.5,265.6827363255577
1990,251.4,331.7819400302374
2000,281.4,414.3259635633271
2010,309.0,517.406113385902
2020,331.0,646.1315720277981
2030,340.0,806.8826354584179
