year,real,pred
1790,3.9,0.7791336186650161
1800,5.3,4.235187809424367
1810,7.2,8.474475151766832
1820,9.6,9.674778953778821
1830,12.9,14.38714949426618
1840,17.1,20.13578624729011
1850,23.2,27.01283512263058
1860,31.4,31.241715680810103
1870,38.6,39.39206455894735
1880,50.2,49.02655287805042
1890,62.9,60.26038975470457
1900,76.0,73.20511173240958
1910,92.0,87.96227951773953
1920,106.5,104.61584091636831
1930,123.2,123.22302518638928
1940,131.7,135.00708729621098
1950,150.7,156.40471541162773
1960,179.3,179.7148510519395
1970,204.0,204.79762326442463
1980,226.5,222.6679039426494
1990,251.4,259.4060401621118
2000,281.4,288.3495998863303
2010,309.0,317.9231947770828
2020,331.0,334.6947402573378
2030,340.0,363.440106513909
