,0
0,459
1,362
2,624
3,542
4,509
5,584
6,433
7,748
8,815
9,505
10,612
11,452
12,434
13,982
14,640
15,742
16,565
17,706
18,593
19,680
20,926
21,653
22,164
23,487
24,734
25,608
26,428
27,1153
28,593
29,844
30,527
31,552
32,513
33,781
34,474
35,388
36,824
37,538
38,862
39,659
40,775
41,859
42,755
43,649
44,697
45,515
46,628
47,954
48,771
49,609
50,402
51,960
52,885
53,610
54,292
55,837
56,473
57,677
58,358
59,638
60,699
61,634
62,555
63,570
64,84
65,416
66,606
67,1062
68,484
69,120
70,447
71,654
72,564
73,339
74,280
75,246
76,687
77,539
78,790
79,581
80,621
81,724
82,531
83,512
84,577
85,496
86,468
87,499
88,544
89,645
90,764
91,558
92,378
93,765
94,666
95,763
96,217
97,715
98,310
99,851
