year,real,pred
1790,3.9,0.0
1800,5.3,5.850018257702516
1810,7.2,6.699999999999999
1820,9.6,9.099999999996726
1830,12.9,11.999999999996874
1840,17.1,16.19999999999567
1850,23.2,21.299999999994103
1860,31.4,29.299999999987556
1870,38.6,39.59999999998624
1880,50.2,45.800000000006555
1890,62.9,61.79999999997118
1900,76.0,75.59999999999279
1910,92.0,89.09999999999738
1920,106.5,107.999999999981
1930,123.2,121.00000000000985
1940,131.7,139.89999999998557
1950,150.7,140.2000000000537
1960,179.3,169.69999999993115
1970,204.0,207.89999999993722
1980,226.5,228.70000000002548
1990,251.4,249.00000000001444
2000,281.4,271.5000000000289
2010,309.0,294.0000000000433
2020,331.0,316.50000000005775
2030,340.0,339.0000000000722
