year,real,pred
1790,323.45,259.11160211699456
1800,341.6,274.25023939811445
1810,360.75,290.27335398251665
1820,381.0,307.232621594496
1830,409.0,325.182737120167
1840,412.0,344.1815910023874
1850,412.0,364.29045594157157
1860,377.0,385.57418450451735
1870,358.0,408.10141827854466
1880,368.0,431.9448092454826
1890,380.0,457.18125408944917
1900,400.0,483.8921421940798
1910,423.0,512.1636181290108
1920,472.0,542.0868594721529
1930,489.0,573.7583708637455
1940,518.77,607.2802952405351
1950,546.815,642.7607432538232
1960,667.07,680.3141419337758
1970,818.315,720.0616037244563
1980,981.235,762.1313170797382
1990,1135.185,806.6589598797857
2000,1264.093,853.7881370014002
2010,1341.0,903.6708434534056
2020,1410.0,956.4679545707163
2030,1500.0,1012.3497448479783
