year,real,pred
1790,3.9,6.660107532696429
1800,5.3,8.377058860308434
1810,7.2,10.52346539077954
1820,9.6,13.199211195814197
1830,12.9,16.523172643174984
1840,17.1,20.63445688670421
1850,23.2,25.69227324432725
1860,31.4,31.873527461669788
1870,38.6,39.36699434131645
1880,50.2,48.36281261608406
1890,62.9,59.03623000948435
1900,76.0,71.52523007771613
1910,92.0,85.9030920281415
1920,106.5,102.14907285439976
1930,123.2,120.12284397977695
1940,131.7,139.55009624754314
1950,150.7,160.02652473268137
1960,179.3,181.0442256391102
1970,204.0,202.03865979133906
1980,226.5,222.44776705246764
1990,251.4,241.77053614112788
2000,281.4,259.612531703279
2010,309.0,275.7104509034455
2020,331.0,289.93440375689977
2030,340.0,302.2723229184102
