year,real,pred
1790,323.45,371.9596463810348
1800,341.6,378.5557733134164
1810,360.75,386.28319412435593
1820,381.0,366.57538812671163
1830,409.0,372.0649103817617
1840,412.0,378.7516642860656
1850,412.0,386.6477032337053
1860,377.0,367.25469400882
1870,358.0,373.3283162737474
1880,368.0,381.0999934659935
1890,380.0,391.00773500568295
1900,400.0,403.8751743190535
1910,423.0,421.2141679602331
1920,472.0,445.7155368731214
1930,489.0,481.93505419845627
1940,518.77,491.5394510724883
1950,546.815,570.5493736961012
1960,667.07,685.145742305446
1970,818.315,833.5696177844503
1980,981.235,953.2385034557328
1990,1135.185,1152.5579886658945
2000,1264.093,1276.4426966725862
2010,1341.0,1366.036036679641
2020,1410.0,1367.926712691434
2030,1500.0,1408.2426418594036
